No.;Phrases;Type
730;They have bought the house;activo
731;They will have bought the house;activo
732;They have bought the house;activo
733;They had bought the house;activo
734;They has to buy the house;activo
735;They should have bought the house;activo
736;They will buy the house;activo
737;They are going to buy the house;activo
738;They can buy the house;activo
739;They has to buy the house;activo
740;They should have bought the house;activo
741;Charles has signed the contract;activo
742;The contract has been signed by Charles;pasivo
743;An emergency call was received by the police late last night.;pasivo
744;An emergency call was received by Officer Ryan.;pasivo
745;A young child was taken by a stranger.;pasivo
746;The victim was found by a neighbor.;pasivo
747;The child was hugged by her mother.;pasivo
748;Cambridge University Press published this book.;activo
749;Edward Barnes designed these houses in the 1880s.;activo
750;Elders in the Inupiat community tell stories because other members of the community see them as most wise.;activo
751;Scientists are doing continuous research to improve the set process as well as understand genes.;activo
752;My professor appreciated my question.;activo
753;Maneesha ate the apple.;activo
754;Wind disperses plant seeds.;activo
755;We have analyzed the results.;activo
756;The theatre company will perform a Shakespearean play next week.;activo
757;Officials will not allow schoolchildren to go to school.;activo
758;Students made mistakes with the passive voice.;activo
759;The Union Army defeated the Confederacy in 1865.;activo
760;The Supreme Court declared the National Industrial Recovery Act unconstitutional in 1935.;activo
761;People drink champagne on New Year’s Eve.;activo
762;Chefs use these machines to mix the ingredients.;activo
763;They renovated the restaurant in 2004.;activo
764;his book was published by Cambridge University Press.;pasivo
765;These works were made by a Mexican artist.;pasivo
766;My question was appreciated by the professor.;pasivo
767;The apple was eaten by Maneesha.;pasivo
768;Plant seeds are dispersed by wind.;pasivo
769;The Confederacy was defeated in 1865.;pasivo
770;Mistakes were made with the passive voice.;pasivo
771;The National Industrial Recovery Act was declared unconstitutional in 1935.;pasivo
772;The metropolis has been scorched by the dragon’s fiery breath.;pasivo
773;The restaurant was renovated in 2004.;pasivo
774;The students were informed that the class had been cancelled.;pasivo
775;Pancakes were eaten by the fox.;pasivo
776;Dinner is being eaten by him.;pasivo
777;Today a test was taken by the fox.;pasivo
778;Spanish is spoken by many foxes.;pasivo
779;Pet foxes are owned by very few people.;pasivo
780;He bit my hand.;activo
781;The dog burned the popcorn.;activo
782;Emilio is writing a book.;activo
783;I am making a cake.;activo
784;He opens the door.;activo
785;We set the table.;activo
786;She pays a lot of money.;activo
787;I draw a picture.;activo
788;They wear blue shoes.;activo
789;They don't help you.;activo
790;He doesn't open the book.;activo
791;You do not write the letter.;activo
792;The party has already started.;activo
793;The car is standing at the garage.;activo
794;The police didn't find the robber last week.;activo
795;The train is going to arrive late.;activo
796;The friends have been looking forward to meeting her.;activo
797;The Government is planning a new road near my house.;activo
798;My grandfather built this house in 1943.;activo
799;Picasso was painting Guernica at that time.;activo
800;The cleaner has cleaned the office.;activo
801;He had written three books before 1867.;activo
802;John will tell you later.;activo
803;By this time tomorrow we will have signed the deal.;activo
804;Somebody should do the work.;activo
805;The English established the colonies 200 years ago.;activo
806;The popcorn was burned by the dog.;pasivo
807;My hand was bitten.;pasivo
808;The book was written in by Emilio.;pasivo
809;The pizza was cooked by my mother.;pasivo
810;This cake was made with honey.;pasivo
811;He teaches English.;activo
812;The child is eating bananas.;activo
813;She is writing a letter.;activo
814;We thanked our sponsors.;activo
815;Everyone loves my dog.;activo
816;Radha has painted this picture.;activo
817;The police arrested the burglar.;activo
818;We thanked our sponsors.;activo
819;Bananas are being eaten by the child.;pasivo
820;A letter is being written by her.;pasivo
821;The servant was punished by the master.;pasivo
822;A book was being written by him.;pasivo
823;Meal is cooked by someone every day.;pasivo
824;A blue shirt was worn by him.;pasivo
825;A house is being built by them.;pasivo
826;The job has been finished by me.;pasivo
827;A diamond necklace was bought by her.;pasivo
828;Please close the door.;activo
829;Please inform your parents about the fee.;activo
830;Drink sufficient water daily;activo
831;Write neatly in your application form.;activo
832;Pack this gift.;activo
833;The president made some mistakes.;activo
834;People know the truth behind lying.;activo
835;Students are writing the book.;activo
836;I threw the book.;activo
837;She is reading the newspaper in the living room.;activo
838;You are working very hard.;activo
839;They are playing in the park.;activo
840;She is doing the work of two people.;activo
841;He is speaking German.;activo
842;The plane is leaving the airport.;activo
843;He is playing in the park.;activo
844;They are selling books there.;activo
845;They are playing chess.;activo
846;The boy is crying because his toy is broken.;activo
847;The telephone is ringing.;activo
848;Someone is knocking the door.;activo
849;Wine is made.;pasivo
850;Grapes are grown.;pasivo
851;Wine is being made.;pasivo
852;Grapes are being grown.;pasivo
853;Wine has been made.;pasivo
854;Grapes have been grown.;pasivo
855;Wine was made.;pasivo
856;Grapes were grown.;pasivo
857;Wine was being made.;pasivo
858;Grapes were being grown.;pasivo
859;Wine had been made.;pasivo
860;Grapes had been grown.;pasivo
861;Wine will be made.;pasivo
862;Grapes will be grown.;pasivo
863;Wine will have been made.;pasivo
864;Grapes will have been grown.;pasivo
865;You worked very hard last week.;activo
866;She lived in Japan last year.;activo
867;They learned how to swim two years ago.;activo
868;She liked to sit in the sun.;activo
869;He always walked to school.;activo
870;I painted my house last weekend.;activo
871;Mr. Green worked with my uncle.;activo
872;I married Kelly last year.;activo
873;He worked in his garden yesterday.;activo
874;He studied for his English class.;activo
875;You watched television every night.;activo
876;They talked on the phone last week.;activo
877;She wanted to learn French.;activo
878;They worked together for many years.;activo
879;She wished to learn Italian;activo
880;He lived in Boston.;activo
881;You studied in my class last semester.;activo
882;We listened music until ten o’clock last night;activo
883;She wanted to visit London.;activo
884;He watched television until twelve o’clock last night;activo
885;She smoked a lot.;activo
886;He answered all the questions.;activo
887;She waited almost an hour for you.;activo
888;I mentioned it to you many times.;activo
889;She needed to speak English in order to get a better job.;activo
890;You arrived ten minutes late.;activo
891;The employee fixed the mistake.;activo
892;My car was stolen last night.;pasivo
893;That house was built in the 1920s.;pasivo
894;The film “Titanic” was directed by James Cameron.;pasivo
895;War and Peace was written in 1869.;pasivo
896;These shoes were made in Italy.;pasivo
897;The package was delivered yesterday afternoon.;pasivo
898;That photo was taken by my father.;pasivo
899;Gold was found in California in 1849.;pasivo
900;That house was built in the 19th century.;pasivo
901;He was fired from his job.;pasivo
902;This song was originally written by Paul Simon.;pasivo
903;It was recorded in 1971 in a studio in Manhattan.;pasivo
904;These chickens were raised by my uncle Henry.;pasivo
905;These shoes were made in Mallorca.;pasivo
906;Pedro was born in Toledo.;pasivo
907;This house was built by my mother.;pasivo
908;Washington was bombed by Pakistan.;pasivo
909;A letter was written by Tom.;pasivo
910;The keys were lost by my sister.;pasivo
911;The lesson was studied by my brother.;pasivo
912;All of the cookies were eaten.;pasivo
913;The apple was cut.;pasivo
914;the room was painted by her;pasivo
915;that show was given by the actress;pasivo
916;the dinner was made by melanie;pasivo
917;You were working very hard yesterday.;activo
918;They were playing in the park.;activo
919;She was doing the work of two people.;activo
920;He was speaking German.;activo
921;The plane was leaving the airport.;activo
922;He was playing in the park.;activo
923;They were selling books there.;activo
924;They were playing chess.;activo
925;The boy was crying because his toy is broken.;activo
926;The telephone was ringing.;activo
927;He was knocking the door.;activo
928;They were waiting for you.;activo
929;It was raining.;activo
930;He was sleeping.;activo
931;She was cleaning the room.;activo
932;She was looking for the book which she lost.;activo
933;He was taking a bath.;activo
934;I was fixing the machine.;activo
935;We were planning a party.;activo
936;They were eating in the restaurant on the corner.;activo
937;I mixed the hydrochloric acid with 25 grams of zinc pellets.;activo
938;Julie tripped the professor.;activo
939;My teacher always gives difficult assignments.;activo
940;I inserted the glass tubing into the rubber stopper.;activo
941;The hydrochloric acid was mixed by me with 25 grams of zinc pellets.;pasivo
942;The glass tubing was inserted into the rubber stopper.;pasivo
943;The professor was tripped by Julie.;pasivo
944;Difficult assignments are always given by my teacher.;pasivo
945;Alexander Fleming discovered penicillin in 1928;activo
946;Penicillin was discovered by Alexander Fleming in 1928.;pasivo
947;Carry it home.;activo
948;Do it at once.;activo
949;Open the door.;activo
950;Throw the ball.;activo
951;The solution was mixed thoroughly.;pasivo
952;The professor gave the students the books.;activo
953;The professor gave the books to the students.;activo
954;The seashell was found by the girl in the white hat;pasivo
955;The movie was enjoyed by all;pasivo
956;The decorations for the party were created by Jessica;pasivo
957;The phone was left in the car;pasivo
958;The vase was broken;pasivo
959;The toy was chewed by the dog;pasivo
960;The stuffed animal was well loved by the little girl;pasivo
961;The laundry is always done by Mom;pasivo
962;These cookies were baked at the grocery store bakery;pasivo
963;It is believed by the president that the changing of the by-laws should be placed on the agenda.;pasivo
964;The president believes that the secretary must place the by-law changes on the agenda.;activo
965;We were cheered by the news that the faculty meeting was canceled by the dean because of the winter storm.;pasivo
966;The dean canceled the faculty meeting because of the winter storm.;activo
967;Sam repaired the car.;activo
968;The car was repaired by Sam.;pasivo
969;Many tourists have visited that castle.;activo
970;That castle has been visited by many tourists.;pasivo
971;Hamlet was written by Shakespeare.;pasivo
972;Shakespeare wrote Hamlet.;activo
973;The book is being read by most of the class.;pasivo
974;Most of the class is reading the book;activo
975;Experiments have been conducted to test the hypothesis.;pasivo
976;Your bicycle has been damaged.;pasivo
977;Someone damaged your bicycle.;activo
978;The brakes were slammed on by her as the car sped down the hill.;pasivo
979;She slammed the brakes as the car sped down the hill.;activo
980;Action on the bill is being considered by the committee.;pasivo
981;The committee is considering action on the bill.;activo
982;I will teach;activo
983;I will learn;activo
984;I teach;activo
985;I learn.;activo
986;I taught;activo
987;I learned.;activo
988;The door is blue.;activo
989;This could be the first day of the rest of my life.;activo
990;She might have been very nice.;activo
991;The rate of evaporation is controlled by the size of an opening.;pasivo
992;The size of an opening controls the rate of evaporation.;activo
993;The lady plays the piano.;activo
994;The driver drove the car.;activo
995;The piano is played by the lady.;pasivo
996;The car was driven by the driver.;pasivo
997;The puppy tore at the stuffed animal until it got the squeaker out.;activo
998;The waves pounded on the dunes during the storm.;activo
999;That race car was driven by Mario Andretti.;pasivo
1000;That painting was painted by one of my students.;pasivo
